Date,EUR_Net_Long,EUR_Long,EUR_Short,EUR_Net_Change
2018-09-18,-44880,130842,87544,490
2018-09-25,-47850,129549,87445,-1334
2018-10-02,-48079,126816,88814,-3106
2018-10-09,-45047,125704,88777,-3878
2018-10-16,-47583,127133,84515,1426
2018-10-23,-41369,127120,84412,15697
2018-10-30,-46300,130573,82717,-11131
2018-11-06,-47497,131429,86053,-1870
2018-11-13,-50328,130211,88297,1883
2018-11-20,-43453,130413,87041,138
2018-11-27,-50276,126294,92331,2864
2018-12-04,-50165,130941,89476,-950
2018-12-11,-45253,130408,94356,5095
2018-12-18,-47341,136739,91648,-1937
2018-12-25,-44888,141046,89203,-1257
2019-01-01,-49809,144854,90164,-1838
2019-01-08,-40055,144819,88790,8781
2019-01-15,-37499,141906,88231,-5597
2019-01-22,-36555,140358,92395,-4389
2019-01-29,-30999,142858,92872,677
2019-02-05,-29366,141636,89183,338
2019-02-12,-17999,145544,85447,-14239
2019-02-19,-21358,146277,82475,-4435
2019-02-26,-24478,150011,80307,-4964
2019-03-05,-30546,148620,80859,1807
2019-03-12,-37116,148887,83915,-3664
2019-03-19,-35090,152428,85222,-4824
2019-03-26,-31322,148143,88744,1616
2019-04-02,-32281,148839,82597,-3482
2019-04-09,-28511,148863,84869,5523
2019-04-16,-36444,151016,87118,6644
2019-04-23,-37241,155882,85305,3174
2019-04-30,-30765,154322,87212,2413
2019-05-07,-31732,153422,86647,415
2019-05-14,-18783,158628,84795,-2762
2019-05-21,-13583,157044,86006,2817
2019-05-28,-19645,156552,89322,4760
2019-06-04,-21181,160433,86905,-2460
2019-06-11,-25214,158197,89536,-2251
2019-06-18,-32264,161374,87394,-6859
2019-06-25,-31238,161642,86271,-6458
2019-07-02,-27226,158713,89435,7265
2019-07-09,-28966,158601,94731,6800
2019-07-16,-27654,158711,95934,4136
2019-07-23,-22219,157779,87554,-210
2019-07-30,-20518,154758,91374,-801
2019-08-06,-20586,157307,88230,946
2019-08-13,-20574,156756,91381,-1912
2019-08-20,-19631,158681,89014,4502
2019-08-27,-15572,157703,101600,-5798
2019-09-03,-14520,161639,104360,-2984
2019-09-10,-3590,160437,106130,-9397
2019-09-17,-98,160899,105769,-2775
2019-09-24,-2141,157914,108039,2138
2019-10-01,-2700,162430,100657,-10641
2019-10-08,5248,167317,103287,211
2019-10-15,1698,171196,97761,4582
2019-10-22,-4900,172862,97681,3895
2019-10-29,-5265,173301,96615,-6639
2019-11-05,-10960,170595,98959,11490
2019-11-12,-5889,169974,103155,7910
2019-11-19,-10509,169975,103031,2017
2019-11-26,-10370,171966,100405,-2347
2019-12-03,-11258,169532,100836,-7428
2019-12-10,-21206,170111,101284,-5342
2019-12-17,-14781,173065,101435,5630
2019-12-24,-13709,173589,100195,1771
2019-12-31,-13904,179203,98940,-5047
2020-01-07,-10480,180907,101519,-8943
2020-01-14,-17841,178886,104718,524
2020-01-21,-16322,179132,110784,-5726
2020-01-28,-21914,177058,109362,-7611
2020-02-04,-28877,177189,107192,-1680
2020-02-11,-31391,176264,106544,-6183
2020-02-18,-32682,175184,113299,-12390
2020-02-25,-24459,174115,115486,2240
2020-03-03,-22372,181052,116222,-1302
2020-03-10,-23492,186361,122476,-4462
2020-03-17,-22884,183488,117181,3727
2020-03-24,-15334,184600,114513,3494
2020-03-31,-16495,186318,111733,7138
2020-04-07,-23380,185702,111216,-2083
2020-04-14,-23761,185839,111385,8726
2020-04-21,-18858,182773,112347,5412
2020-04-28,-9759,176935,108004,4985
2020-05-05,-5785,171932,105309,2737
2020-05-12,-8157,179250,109105,-5428
2020-05-19,-8402,181656,110928,-4379
2020-05-26,-15669,183564,109939,-2922
2020-06-02,-21036,180899,107023,1647
2020-06-09,-17277,179951,109186,-3033
2020-06-16,-21183,180293,113678,5015
2020-06-23,-13095,179706,113836,6629
2020-06-30,-16040,181271,107976,2553
2020-07-07,-18835,178460,109112,-6741
2020-07-14,-18304,181646,111287,4013
2020-07-21,-17115,180736,110347,3889
2020-07-28,-20821,185270,115092,-3447
2020-08-04,-27833,178376,115286,-5342
2020-08-11,-18950,184007,116821,1726
2020-08-18,-17812,178856,113964,-1553
2020-08-25,-4048,181510,111420,4332
2020-09-01,-747,177752,110266,677
2020-09-08,5299,176652,112501,-3773
2020-09-15,1159,168520,114636,-10006
2020-09-22,-1239,171440,111692,-3915
2020-09-29,-1458,172734,114893,257
2020-10-06,-3115,168591,115370,-2602
2020-10-13,-4727,168651,118175,-3539
2020-10-20,-6426,167548,120832,2093
2020-10-27,-7320,167186,124038,6336
2020-11-03,-5130,168381,123992,1792
2020-11-10,-10366,167215,122217,-1281
2020-11-17,-12243,169212,121224,9388
2020-11-24,-8019,170436,123417,1076
2020-12-01,-3986,170138,123204,-122
2020-12-08,-8102,170172,125547,-828
2020-12-15,-928,172219,126610,6989
2020-12-22,5192,174757,125603,-8471
2020-12-29,3521,173132,127963,-6247
2021-01-05,8241,171749,129061,6993
2021-01-12,2673,170985,126220,1248
2021-01-19,5012,170584,126771,11503
2021-01-26,-2383,169547,124449,2611
2021-02-02,429,171319,126380,9288
2021-02-09,-1898,166949,129291,-8241
2021-02-16,379,172810,131551,-7708
2021-02-23,3337,169994,132160,-3884
2021-03-02,1016,165353,127842,-1714
2021-03-09,-3986,169976,131967,1665
2021-03-16,-2075,169227,137543,13540
2021-03-23,-8491,167266,137648,-4620
2021-03-30,-6395,167686,141637,3273
2021-04-06,-7975,169621,138377,-5344
2021-04-13,-12497,171946,135841,-6088
2021-04-20,-18046,166435,135999,-3164
2021-04-27,-20853,170699,137123,-517
2021-05-04,-18159,166360,136622,7573
2021-05-11,-23837,171926,143755,409
2021-05-18,-22064,170075,143525,2921
2021-05-25,-18602,173062,148302,1032
2021-06-01,-23653,170373,155590,-2523
2021-06-08,-23684,173295,156643,4783
2021-06-15,-28915,171840,152937,11449
2021-06-22,-25817,172862,155167,2085
2021-06-29,-23367,176436,153676,3068
2021-07-06,-23927,174779,150319,-4456
2021-07-13,-21231,180518,150575,3744
2021-07-20,-25297,183177,150359,3737
2021-07-27,-16168,182770,145707,2480
2021-08-03,-16180,181691,141398,-10812
2021-08-10,-8626,184864,145076,2396
2021-08-17,-7299,182633,140817,-10425
2021-08-24,-13857,177060,141305,-1811
2021-08-31,-9328,177263,140539,2176
2021-09-07,-16016,176536,146569,2541
2021-09-14,-23294,176623,144565,-6023
2021-09-21,-22975,178632,143681,843
2021-09-28,-21392,176595,141599,-7279
2021-10-05,-18642,181881,141556,-6244
2021-10-12,-13306,184784,143190,2168
2021-10-19,-14039,184790,143428,1751
2021-10-26,-13940,184951,144057,9735
2021-11-02,-17652,185212,148726,-3105
2021-11-09,-12666,181729,148415,-5437
2021-11-16,-400,185968,145982,-5738
2021-11-23,-567,187017,145403,976
2021-11-30,1280,182755,148466,-4652
2021-12-07,-7509,180797,148425,-3684
2021-12-14,-5898,177823,143764,2212
2021-12-21,-9849,177912,141904,-3057
2021-12-28,-5600,178679,141492,-1368
2022-01-04,-6526,176710,144768,2895
2022-01-11,2585,177321,144285,-5173
2022-01-18,6238,179300,139086,-6687
2022-01-25,2188,174704,135250,-3118
2022-02-01,1038,177064,134477,-5784
2022-02-08,-1618,179841,132679,-623
2022-02-15,5871,180794,131021,-1171
2022-02-22,9193,180679,129543,47
2022-03-01,9265,181278,127190,8448
2022-03-08,4364,175787,124508,-14489
2022-03-15,7505,179294,126428,3688
2022-03-22,3751,175942,124078,3936
2022-03-29,2570,175993,124200,4026
2022-04-05,4464,174285,129525,-12393
2022-04-12,629,175584,130254,4477
2022-04-19,4232,177480,128357,1303
2022-04-26,6050,173977,126742,921
2022-05-03,6280,173901,132142,-1910
2022-05-10,5113,178713,132951,1772
2022-05-17,-1793,176235,129655,-8719
2022-05-24,-2010,177543,132569,-5324
2022-05-31,-9847,179834,131920,-10730
2022-06-07,-9456,181332,132387,5644
2022-06-14,-4227,182975,137931,-828
2022-06-21,-7372,180483,134713,8067
2022-06-28,-8211,176400,137821,-3839
2022-07-05,-12736,178177,138155,271
2022-07-12,-7983,180769,141891,6130
2022-07-19,-5675,178931,139360,1900
2022-07-26,4127,178928,140191,2545
2022-08-02,4274,175307,143511,4337
2022-08-09,4886,173250,140115,-1146
2022-08-16,7849,172769,137180,-293
2022-08-23,-983,174108,142091,-8748
2022-08-30,-5711,171771,148790,-4587
2022-09-06,-16670,173343,146365,-849
2022-09-13,-22469,169771,140902,-4315
2022-09-20,-31768,172509,143347,5348
2022-09-27,-27726,174183,146771,11126
2022-10-04,-30574,172346,141651,4780
2022-10-11,-23847,172994,144860,-6462
2022-10-18,-19180,171987,142244,9254
2022-10-25,-14654,170485,146629,7594
2022-11-01,-19240,174301,141771,-9092
2022-11-08,-18037,171961,145328,6259
2022-11-15,-23064,174122,148406,-4041
2022-11-22,-24248,170848,147718,-205
2022-11-29,-18663,171137,149333,-1366
2022-12-06,-15169,168375,147896,-4460
2022-12-13,-11082,170423,149583,-3682
2022-12-20,-9181,175801,150560,-7198
2022-12-27,-11815,176862,148809,-2021
2023-01-03,-18897,177127,149513,3888
2023-01-10,-17519,178164,153630,-988
2023-01-17,-16412,171664,159727,630
2023-01-24,-23591,174617,162157,-3600
2023-01-31,-22826,179210,164584,6278
2023-02-07,-24157,179091,163717,1541
2023-02-14,-22193,178920,158306,4252
2023-02-21,-15605,181038,158792,4134
2023-02-28,-13083,182498,157338,-4937
2023-03-07,-10591,176988,157496,2129
2023-03-14,-11058,174516,159314,-3527
2023-03-21,-15838,179424,163580,-10335
2023-03-28,-21005,177704,162043,-6378
2023-04-04,-22330,182922,161398,1760
2023-04-11,-18461,183904,158632,-4933
2023-04-18,-23530,183965,158381,-11059
2023-04-25,-23849,182274,164954,2716
2023-05-02,-20318,183818,158514,3580
2023-05-09,-21093,181576,159156,9741
2023-05-16,-15051,182093,158805,-11119
2023-05-23,-11616,180685,155719,7291
2023-05-30,-6770,174641,153905,-1609
2023-06-06,-6822,176791,150268,2280
2023-06-13,-6248,175382,152087,10225
2023-06-20,-3156,176610,155692,-3
2023-06-27,-9361,177350,154849,160
2023-07-04,-2513,180941,158171,-4396
2023-07-11,1626,178251,159100,7054
2023-07-18,-6961,181380,158047,-78
2023-07-25,-3798,176870,154090,4574
2023-08-01,2709,180602,155054,-1103
2023-08-08,-2240,180270,152881,8450
2023-08-15,-2101,183209,152143,-7302
2023-08-22,340,184013,152687,11417
2023-08-29,-1888,182761,154729,-2500
2023-09-05,-4617,184668,153716,-3925
2023-09-12,-2703,184721,150777,9408
2023-09-19,4531,184287,152252,-7262
2023-09-26,8787,181900,153273,-2974
2023-10-03,16719,183693,156135,-669
2023-10-10,15302,178696,153250,565
2023-10-17,10554,180278,152301,-2804
2023-10-24,13544,180610,153711,-2662
2023-10-31,6596,184236,153217,10282
2023-11-07,3166,180309,152538,1434
2023-11-14,3592,174444,149151,-6342
2023-11-21,5366,174320,142795,-7568
2023-11-28,-339,175108,140184,6866
2023-12-05,-5446,172548,134030,-3357
2023-12-12,-7594,171787,128519,13631
2023-12-19,-5706,174095,129562,9866
2023-12-26,-3953,173388,127583,2800
2024-01-02,-10890,172755,136653,-807
2024-01-09,-5810,170561,134921,-1095
2024-01-16,-1961,167092,141391,2789
2024-01-23,-10351,158854,141564,533
2024-01-30,2604,159211,139951,-2503
2024-02-06,262,158337,141164,-12207
2024-02-13,4753,155263,139697,1742
2024-02-20,1405,150972,139165,3124
2024-02-27,1503,149370,140088,-3493
2024-03-05,4081,153511,140062,-1955
2024-03-12,6496,154162,147196,7622
2024-03-19,11096,153218,140857,165
2024-03-26,11029,154390,144582,-5958
2024-04-02,14521,157254,144866,6005
2024-04-09,18858,159117,139423,-3248
2024-04-16,20767,162611,137800,-7938
2024-04-23,24053,166578,137698,9286
2024-04-30,28956,164393,138324,7185
2024-05-07,24216,162937,142317,666
2024-05-14,22772,161633,139305,-9959
2024-05-21,25889,162776,139971,8081
2024-05-28,25075,163906,136562,2469
2024-06-04,18390,162435,137242,1432
2024-06-11,16073,165905,137838,3560
2024-06-18,15906,170301,138699,1448
2024-06-25,18097,172262,137444,1441
2024-07-02,12468,174591,134350,4074
2024-07-09,15841,175683,132263,-2323
2024-07-16,18607,169987,125170,3949
2024-07-23,21673,169691,124577,-1983
2024-07-30,23803,173728,124283,-3917
2024-08-06,30948,166393,125886,-2253
2024-08-13,24822,172975,120536,5189
2024-08-20,19977,171139,115291,101
2024-08-27,19011,172163,108902,-5002
2024-09-03,12564,173464,107921,7088
2024-09-10,11175,170791,106270,1083
2024-09-17,20629,170420,103697,4517
2024-09-24,26666,172082,105331,-99
2024-10-01,17513,177287,106573,7297
2024-10-08,21531,175429,101946,3532
2024-10-15,22753,178286,104016,4387
2024-10-22,18995,178214,104948,685
2024-10-29,18757,175877,110696,-3946
2024-11-05,22982,170436,115608,-897
2024-11-12,19374,168899,112886,4721
2024-11-19,22185,167038,111869,-360
2024-11-26,24083,169355,113726,11780
2024-12-03,14306,168298,115502,428
2024-12-10,7536,170542,116685,-5490
2024-12-17,277,173184,114048,-1582
2024-12-24,3186,167362,113111,3550
2024-12-31,5655,171374,112906,-6370
